greV,greQ,greA,cgpa,univName,country,university_type,ranking,tuition_usd,ielts_min,toefl_min,duration_years,research_focused,internship_opportunities,post_study_work_visa,program_fields,academic_strength,ranking_score,affordability,research_flag,internship_flag,visa_flag
151,159,4.0,3.98,Stanford University,USA,Private,3,53581,7.0,95,2,False,True,True,"Computer Science,Engineering",0.73375,0.8072759997491488,0.07396754376620152,0,1,1
155,162,3.9,3.98,Stanford University,USA,Private,3,54443,7.2,100,2,True,True,True,"Engineering,Robotics",0.7825,0.8072759997491488,0.05866268953517273,1,1,1
155,167,4.7,3.19,Stanford University,USA,Private,3,53461,7.1,103,2,False,False,True,"Engineering,Robotics",0.7968749999999999,0.8072759997491488,0.07609814992365327,0,0,1
158,155,3.8,3.42,Stanford University,USA,Private,3,56857,7.0,109,2,True,False,True,"Physics,Applied Sciences",0.7024999999999999,0.8072759997491488,0.01580199566776752,1,0,1
159,157,3.5,3.01,Stanford University,USA,Private,3,57651,6.8,101,2,False,True,True,"Physics,Applied Sciences",0.693125,0.8072759997491488,0.0017044849259614248,0,1,1
161,159,4.8,3.56,Stanford University,USA,Private,3,54114,6.5,100,2,False,True,True,"Engineering,Robotics",0.79,0.8072759997491488,0.06450410141685314,0,1,1
150,162,4.7,3.92,Stanford University,USA,Private,3,56569,7.0,87,2,False,False,True,"Computer Science,Engineering",0.7675,0.8072759997491488,0.020915450445651795,0,0,1
152,163,3.0,2.99,Stanford University,USA,Private,3,55268,7.0,100,2,True,True,True,"Engineering,Robotics",0.688125,0.8072759997491488,0.04401477220269168,1,1,1
150,158,3.5,3.19,Stanford University,USA,Private,3,56355,7.0,91,2,True,True,True,"Computer Science,Engineering",0.656875,0.8072759997491488,0.024715031426440826,1,1,1
165,166,4.0,3.56,Stanford University,USA,Private,3,53627,6.9,90,2,True,True,True,"Physics,Applied Sciences",0.85625,0.8072759997491488,0.073150811405845,1,1,1
157,165,3.9,3.22,Stanford University,USA,Private,3,55798,7.0,85,2,True,False,True,"Mathematics,Statistics",0.77375,0.8072759997491488,0.034604595007279526,1,0,1
165,157,4.1,3.72,Stanford University,USA,Private,3,52489,7.5,98,2,True,False,True,"Data Science,AI",0.7899999999999999,0.8072759997491488,0.09335605979901285,1,0,1
158,159,4.9,3.31,Stanford University,USA,Private,3,57566,7.4,85,2,False,True,True,"Mathematics,Statistics",0.758125,0.8072759997491488,0.0032136642874898147,0,1,1
150,157,3.3,3.47,Stanford University,USA,Private,3,57398,7.0,92,2,False,False,True,"Business,Management",0.660625,0.8072759997491488,0.006196512907922336,0,0,1
164,160,3.7,3.1,Stanford University,USA,Private,3,53874,6.5,92,2,True,True,True,"Data Science,AI",0.76125,0.8072759997491488,0.06876531373175665,1,1,1
165,161,3.6,3.77,Stanford University,USA,Private,3,56705,7.3,97,2,False,False,True,"Computer Science,Engineering",0.8156249999999999,0.8072759997491488,0.018500763467206416,0,0,1
153,167,3.4,2.89,Stanford University,USA,Private,3,54432,6.1,103,2,True,True,True,"Engineering,Robotics",0.733125,0.8072759997491488,0.058857995099605875,1,1,1
151,156,3.9,3.61,Stanford University,USA,Private,3,54054,6.2,106,2,False,False,True,"Physics,Applied Sciences",0.681875,0.8072759997491488,0.06556940449557902,0,0,1
166,158,3.1,3.16,Stanford University,USA,Private,3,55203,6.5,92,2,True,False,True,"Engineering,Robotics",0.745,0.8072759997491488,0.045168850537978034,1,0,1
161,159,3.9,3.81,Stanford University,USA,Private,3,53319,6.6,87,2,True,False,True,"Engineering,Robotics",0.7831250000000001,0.8072759997491488,0.0786193672099712,1,0,1
165,167,4.9,3.66,Stanford University,USA,Private,3,52475,6.6,103,2,False,False,True,"Business,Management",0.89375,0.8072759997491488,0.09360463051738221,0,0,1
154,164,4.9,3.8,Stanford University,USA,Private,3,56077,6.6,85,2,True,False,True,"Physics,Applied Sciences",0.8075000000000001,0.8072759997491488,0.02965093569120414,1,0,1
165,163,4.3,3.14,Stanford University,USA,Private,3,57501,7.1,89,2,False,True,True,"Data Science,AI",0.81125,0.8072759997491488,0.004367742622776172,0,1,1
161,164,3.7,3.71,Stanford University,USA,Private,3,52329,6.2,89,2,True,True,True,"Physics,Applied Sciences",0.815625,0.8072759997491488,0.09619686800894856,1,1,1
163,168,4.4,3.37,Stanford University,USA,Private,3,52788,6.7,91,2,False,True,True,"Physics,Applied Sciences",0.859375,0.8072759997491488,0.08804729945669543,0,1,1
154,161,3.1,3.94,Stanford University,USA,Private,3,57126,6.4,94,2,False,True,True,"Business,Management",0.745,0.8072759997491488,0.011025886864813095,0,1,1
150,162,4.3,3.0,Stanford University,USA,Private,3,52638,7.0,101,2,False,False,True,"Data Science,AI",0.7,0.8072759997491488,0.09071055715351017,0,0,1
169,162,4.4,3.49,Stanford University,USA,Private,3,52956,7.2,95,2,True,False,True,"Data Science,AI",0.8518749999999999,0.8072759997491488,0.0850644508362629,1,0,1
150,155,4.3,3.05,Stanford University,USA,Private,3,53756,6.3,98,2,False,True,True,"Data Science,AI",0.641875,0.8072759997491488,0.07086040978658426,0,1,1
167,157,3.7,3.59,Stanford University,USA,Private,3,54369,7.0,86,2,True,True,True,"Engineering,Robotics",0.784375,0.8072759997491488,0.059976563332268085,1,1,1
167,167,4.9,2.85,Stanford University,USA,Private,3,54548,7.5,88,2,False,True,True,"Computer Science,Engineering",0.855625,0.8072759997491488,0.05679840914740242,0,1,1
152,155,4.5,2.95,Stanford University,USA,Private,3,53625,6.9,107,2,False,False,True,"Mathematics,Statistics",0.653125,0.8072759997491488,0.07318632150846915,0,0,1
161,155,4.4,3.69,Stanford University,USA,Private,3,53560,6.6,101,2,False,False,True,"Computer Science,Engineering",0.7531249999999999,0.8072759997491488,0.07434039984375551,0,0,1
162,165,3.2,2.86,Stanford University,USA,Private,3,57521,7.3,93,2,True,False,True,"Physics,Applied Sciences",0.7649999999999999,0.8072759997491488,0.00401264159653425,1,0,1
169,157,4.0,2.9,Stanford University,USA,Private,3,52754,6.9,104,2,True,True,True,"Engineering,Robotics",0.76125,0.8072759997491488,0.08865097120130672,1,1,1
165,163,3.2,3.92,Stanford University,USA,Private,3,57608,7.5,89,2,True,True,True,"Mathematics,Statistics",0.8324999999999999,0.8072759997491488,0.002467952132381712,1,1,1
160,165,3.2,2.97,Stanford University,USA,Private,3,56438,6.9,90,2,True,False,True,"Mathematics,Statistics",0.759375,0.8072759997491488,0.023241362167536694,1,0,1
157,164,3.8,3.87,Stanford University,USA,Private,3,53056,6.8,90,2,True,False,True,"Mathematics,Statistics",0.8031250000000001,0.8072759997491488,0.08328894570505307,1,0,1
150,160,4.6,3.94,Stanford University,USA,Private,3,57673,7.1,90,2,False,True,True,"Data Science,AI",0.7487499999999999,0.8072759997491488,0.001313873797095244,0,1,1
161,160,4.4,3.1,Stanford University,USA,Private,3,54066,6.7,97,2,True,False,True,"Engineering,Robotics",0.7599999999999999,0.8072759997491488,0.0653563438798338,1,0,1
169,166,4.5,3.79,Stanford University,USA,Private,3,56343,7.0,109,2,True,False,True,"Computer Science,Engineering",0.9081249999999998,0.8072759997491488,0.024928092042186045,1,0,1
150,160,3.9,3.76,Stanford University,USA,Private,3,57628,6.8,99,2,True,False,True,"Physics,Applied Sciences",0.72,0.8072759997491488,0.0021128511061396793,1,0,1
160,166,3.1,3.46,Stanford University,USA,Private,3,57581,6.8,93,2,True,False,True,"Computer Science,Engineering",0.7962499999999999,0.8072759997491488,0.0029473385178082623,1,0,1
152,161,3.1,3.14,Stanford University,USA,Private,3,57477,7.3,96,2,False,False,True,"Mathematics,Statistics",0.6825,0.8072759997491488,0.0047938638542665,0,0,1
157,164,3.4,3.36,Stanford University,USA,Private,3,54193,6.9,89,2,True,False,True,"Data Science,AI",0.76125,0.8072759997491488,0.06310145236319731,1,0,1
166,163,3.6,3.78,Stanford University,USA,Private,3,56016,6.2,98,2,True,True,True,"Physics,Applied Sciences",0.8399999999999999,0.8072759997491488,0.03073399382124209,1,1,1
167,157,4.5,3.54,Stanford University,USA,Private,3,54550,7.4,102,2,True,True,True,"Mathematics,Statistics",0.80125,0.8072759997491488,0.05676289904477827,1,1,1
150,160,4.6,3.98,Stanford University,USA,Private,3,53077,6.9,109,2,False,True,True,"Data Science,AI",0.75125,0.8072759997491488,0.08291608962749908,0,1,1
166,167,3.1,2.84,Stanford University,USA,Private,3,52986,6.0,107,2,False,False,True,"Computer Science,Engineering",0.80375,0.8072759997491488,0.08453179929690002,0,0,1
154,169,4.5,3.9,Stanford University,USA,Private,3,55468,7.1,94,2,False,True,True,"Computer Science,Engineering",0.8475,0.8072759997491488,0.040463761940272014,0,1,1
163,163,3.3,3.94,Stanford University,USA,Private,3,55583,6.3,101,2,False,False,True,"Business,Management",0.8237499999999999,0.8072759997491488,0.03842193103938074,0,0,1
157,161,4.3,3.42,Stanford University,USA,Private,3,56497,6.8,96,2,True,False,True,"Engineering,Robotics",0.76125,0.8072759997491488,0.02219381414012289,1,0,1
154,168,4.8,3.28,Stanford University,USA,Private,3,52987,6.0,99,2,True,True,True,"Physics,Applied Sciences",0.8074999999999999,0.8072759997491488,0.08451404424558784,1,1,1
151,165,3.4,2.96,Stanford University,USA,Private,3,52329,6.5,86,2,False,False,True,"Data Science,AI",0.7075,0.8072759997491488,0.09619686800894856,0,0,1
168,169,4.5,3.46,Stanford University,USA,Private,3,54730,7.4,107,2,False,True,True,"Computer Science,Engineering",0.9075,0.8072759997491488,0.05356698980860053,0,1,1
154,167,3.3,3.91,Stanford University,USA,Private,3,54956,6.4,108,2,True,False,True,"Physics,Applied Sciences",0.800625,0.8072759997491488,0.04955434821206628,1,0,1
151,167,3.4,3.5,Stanford University,USA,Private,3,54128,6.8,107,2,True,False,True,"Data Science,AI",0.7587499999999999,0.8072759997491488,0.06425553069848366,1,0,1
165,162,3.4,3.64,Stanford University,USA,Private,3,54514,7.3,102,2,True,False,True,"Data Science,AI",0.81125,0.8072759997491488,0.05740208089201382,1,0,1
168,159,3.3,3.13,Stanford University,USA,Private,3,53223,6.1,85,2,True,True,True,"Engineering,Robotics",0.7693749999999999,0.8072759997491488,0.08032385213593263,1,1,1
163,156,3.3,3.2,Stanford University,USA,Private,3,54018,6.1,99,2,True,False,True,"Physics,Applied Sciences",0.71625,0.8072759997491488,0.06620858634281457,1,0,1
160,169,3.8,2.8,Stanford University,USA,Private,3,57025,6.1,87,2,True,False,True,"Physics,Applied Sciences",0.7987500000000001,0.8072759997491488,0.012819147047335,1,0,1
163,164,4.5,3.44,Stanford University,USA,Private,3,56212,6.1,108,2,True,True,True,"Data Science,AI",0.8312499999999999,0.8072759997491488,0.027254003764070833,1,1,1
164,161,4.0,3.44,Stanford University,USA,Private,3,52839,6.7,87,2,True,True,True,"Computer Science,Engineering",0.79875,0.8072759997491488,0.08714179183977844,1,1,1
154,166,3.0,3.19,Stanford University,USA,Private,3,53412,6.5,96,2,True,True,True,"Mathematics,Statistics",0.7393749999999999,0.8072759997491488,0.07696814743794611,1,1,1
169,163,4.4,3.75,Stanford University,USA,Private,3,54991,6.1,99,2,False,False,True,"Computer Science,Engineering",0.876875,0.8072759997491488,0.048932921416142916,0,0,1
161,157,3.8,3.2,Stanford University,USA,Private,3,57198,6.9,108,2,True,True,True,"Physics,Applied Sciences",0.7250000000000001,0.8072759997491488,0.009747523170341998,1,1,1
154,163,3.5,2.92,Stanford University,USA,Private,3,53090,6.4,88,2,False,True,True,"Physics,Applied Sciences",0.70875,0.8072759997491488,0.08268527396044179,0,1,1
158,161,3.1,2.82,Stanford University,USA,Private,3,56083,7.5,90,2,False,False,True,"Engineering,Robotics",0.7,0.8072759997491488,0.029544405383331585,0,0,1
160,158,3.0,3.97,Stanford University,USA,Private,3,54949,7.1,109,2,False,True,True,"Data Science,AI",0.755625,0.8072759997491488,0.04967863357125102,0,1,1
157,164,3.6,3.72,Stanford University,USA,Private,3,53278,6.5,103,2,False,True,True,"Engineering,Robotics",0.7887500000000001,0.8072759997491488,0.07934732431376723,0,1,1
166,166,3.2,3.53,Stanford University,USA,Private,3,53837,6.9,95,2,True,False,True,"Mathematics,Statistics",0.840625,0.8072759997491488,0.06942225063030427,1,0,1
160,157,3.1,3.2,Stanford University,USA,Private,3,52989,6.1,96,2,False,True,True,"Business,Management",0.7012499999999999,0.8072759997491488,0.08447853414296369,0,1,1
169,155,3.3,2.8,Stanford University,USA,Private,3,52891,6.7,90,2,True,True,True,"Physics,Applied Sciences",0.72,0.8072759997491488,0.08621852917154926,1,1,1
166,159,4.7,3.96,Stanford University,USA,Private,3,52933,7.1,93,2,False,False,True,"Data Science,AI",0.84375,0.8072759997491488,0.08547281701644116,0,0,1
152,155,4.5,3.49,Stanford University,USA,Private,3,56880,6.2,93,2,True,False,True,"Engineering,Robotics",0.686875,0.8072759997491488,0.015393629487589267,1,0,1
152,159,3.4,3.08,Stanford University,USA,Private,3,55735,7.4,109,2,True,False,True,"Computer Science,Engineering",0.66875,0.8072759997491488,0.035723163239941735,1,0,1
167,162,3.9,3.66,Stanford University,USA,Private,3,57198,6.9,85,2,True,True,True,"Computer Science,Engineering",0.8375,0.8072759997491488,0.009747523170341998,1,1,1
166,155,3.8,3.44,Stanford University,USA,Private,3,52616,6.3,91,2,True,False,True,"Physics,Applied Sciences",0.7537499999999999,0.8072759997491488,0.09110116828237635,1,0,1
152,161,4.5,3.63,Stanford University,USA,Private,3,53167,7.3,85,2,False,False,True,"Data Science,AI",0.7481249999999999,0.8072759997491488,0.08131813500941021,0,0,1
153,167,3.3,3.17,Stanford University,USA,Private,3,53616,7.1,88,2,False,False,True,"Business,Management",0.7481249999999999,0.8072759997491488,0.07334611697027804,0,0,1
154,165,4.5,2.92,Stanford University,USA,Private,3,55200,6.6,97,2,False,False,True,"Mathematics,Statistics",0.7512499999999999,0.8072759997491488,0.045222115691914366,0,0,1
157,159,4.0,3.29,Stanford University,USA,Private,3,56495,6.0,103,2,True,False,True,"Engineering,Robotics",0.7281249999999999,0.8072759997491488,0.02222932424274704,1,0,1
160,165,3.7,3.02,Stanford University,USA,Private,3,57246,6.9,92,2,True,True,True,"Business,Management",0.7749999999999999,0.8072759997491488,0.00889528070736123,1,1,1
163,165,3.3,3.5,Stanford University,USA,Private,3,55032,6.9,99,2,False,False,True,"Data Science,AI",0.81375,0.8072759997491488,0.04820496431234689,0,0,1
161,166,4.1,3.64,Stanford University,USA,Private,3,57323,7.1,94,2,True,False,True,"Business,Management",0.8387500000000001,0.8072759997491488,0.007528141756329654,1,0,1
158,160,3.2,2.93,Stanford University,USA,Private,3,56872,7.4,85,2,False,True,True,"Mathematics,Statistics",0.7006249999999999,0.8072759997491488,0.015535669898085969,0,1,1
163,158,3.2,3.91,Stanford University,USA,Private,3,57034,6.8,92,2,True,True,True,"Computer Science,Engineering",0.7756249999999999,0.8072759997491488,0.012659351585526113,1,1,1
158,164,4.6,2.81,Stanford University,USA,Private,3,54084,6.6,109,2,False,True,True,"Physics,Applied Sciences",0.7631249999999999,0.8072759997491488,0.06503675295621603,0,1,1
151,161,3.7,3.69,Stanford University,USA,Private,3,54737,6.3,96,2,True,True,True,"Physics,Applied Sciences",0.725625,0.8072759997491488,0.0534427044494159,1,1,1
156,158,3.8,3.9,Stanford University,USA,Private,3,54243,6.9,106,2,False,False,True,"Business,Management",0.74625,0.8072759997491488,0.06221369979759239,0,0,1
166,161,5.0,3.35,Stanford University,USA,Private,3,55315,7.3,92,2,True,True,True,"Computer Science,Engineering",0.830625,0.8072759997491488,0.043180284791023094,1,1,1
162,168,4.5,3.05,Stanford University,USA,Private,3,57189,6.3,101,2,True,True,True,"Physics,Applied Sciences",0.8356250000000001,0.8072759997491488,0.009907318632150885,1,1,1
165,162,4.2,3.15,Stanford University,USA,Private,3,56177,6.8,106,2,False,True,True,"Business,Management",0.800625,0.8072759997491488,0.027875430559994308,0,1,1
155,157,3.3,3.02,Stanford University,USA,Private,3,56989,7.4,94,2,False,True,True,"Physics,Applied Sciences",0.66375,0.8072759997491488,0.013458328894570548,0,1,1
151,166,4.6,3.97,Stanford University,USA,Private,3,56868,7.3,92,2,True,True,True,"Data Science,AI",0.8093750000000001,0.8072759997491488,0.015606690103334375,1,1,1
157,160,3.7,3.48,Stanford University,USA,Private,3,57131,6.8,92,2,False,True,True,"Physics,Applied Sciences",0.74125,0.8072759997491488,0.010937111608252503,0,1,1
163,165,4.9,3.93,Stanford University,USA,Private,3,53025,6.6,107,2,False,False,True,"Business,Management",0.880625,0.8072759997491488,0.08383935229572814,0,0,1
156,155,3.4,2.83,Stanford University,USA,Private,3,53247,6.9,102,2,False,True,True,"Mathematics,Statistics",0.643125,0.8072759997491488,0.0798977309044423,0,1,1
169,165,3.5,3.26,Stanford University,USA,Private,3,55496,6.4,89,2,True,False,True,"Physics,Applied Sciences",0.8412499999999999,0.8072759997491488,0.03996662050353328,1,0,1
158,156,4.7,3.06,Stanford University,USA,Private,3,57610,7.2,101,2,False,False,True,"Data Science,AI",0.71125,0.8072759997491488,0.0024324420297574534,0,0,1
163,161,4.6,3.31,Stanford University,USA,Private,3,52373,6.4,92,2,False,True,True,"Computer Science,Engineering",0.7993750000000001,0.8072759997491488,0.0954156457512162,0,1,1
156,163,3.3,3.8,Stanford University,USA,Private,3,57664,6.8,97,2,False,True,True,"Mathematics,Statistics",0.77125,0.8072759997491488,0.0014736692589041311,0,1,1
160,160,4.8,2.94,Stanford University,USA,Private,3,55420,6.4,101,2,True,True,True,"Physics,Applied Sciences",0.7537499999999999,0.8072759997491488,0.04131600440325267,1,1,1
161,161,3.2,2.97,Stanford University,USA,Private,3,53700,6.4,92,2,False,False,True,"Mathematics,Statistics",0.730625,0.8072759997491488,0.07185469266006184,0,0,1
156,164,4.8,3.3,Stanford University,USA,Private,3,54357,6.8,86,2,False,False,True,"Data Science,AI",0.7862499999999999,0.8072759997491488,0.06018962394801319,0,0,1
150,157,3.2,3.73,Stanford University,USA,Private,3,52625,7.3,95,2,False,False,True,"Computer Science,Engineering",0.674375,0.8072759997491488,0.09094137282056747,0,0,1
156,162,4.1,3.37,Stanford University,USA,Private,3,55900,7.4,89,2,False,True,True,"Business,Management",0.755625,0.8072759997491488,0.03279357977344555,0,1,1
153,169,3.5,3.51,Stanford University,USA,Private,3,52532,6.7,97,2,True,False,True,"Computer Science,Engineering",0.791875,0.8072759997491488,0.09259259259259256,1,0,1
151,159,3.7,3.22,Stanford University,USA,Private,3,54520,7.1,92,2,False,True,True,"Data Science,AI",0.6787500000000001,0.8072759997491488,0.05729555058414115,0,1,1
152,156,4.6,3.63,Stanford University,USA,Private,3,53746,6.9,103,2,True,False,True,"Data Science,AI",0.7068749999999999,0.8072759997491488,0.07103796029970522,1,0,1
166,167,4.6,3.63,Stanford University,USA,Private,3,55117,6.1,100,2,False,True,True,"Mathematics,Statistics",0.890625,0.8072759997491488,0.0466957849508185,0,1,1
166,161,4.4,3.56,Stanford University,USA,Private,3,57643,7.4,96,2,True,True,True,"Business,Management",0.82875,0.8072759997491488,0.001846525336458238,1,1,1
158,167,4.3,2.85,Stanford University,USA,Private,3,55485,7.5,105,2,False,False,True,"Physics,Applied Sciences",0.7843749999999999,0.8072759997491488,0.040161926067966314,0,0,1
164,159,4.5,3.03,Stanford University,USA,Private,3,52884,6.6,102,2,True,False,True,"Engineering,Robotics",0.7681249999999998,0.8072759997491488,0.086342814530734,1,0,1
156,157,3.6,3.79,Stanford University,USA,Private,3,52453,6.9,87,2,False,False,True,"Mathematics,Statistics",0.725625,0.8072759997491488,0.0939952416462484,0,0,1
151,157,4.4,3.21,Stanford University,USA,Private,3,56236,6.1,99,2,False,True,True,"Engineering,Robotics",0.678125,0.8072759997491488,0.026827882532580505,0,1,1
162,156,4.0,3.31,Stanford University,USA,Private,3,57071,6.6,87,2,False,False,True,"Physics,Applied Sciences",0.734375,0.8072759997491488,0.012002414686978491,0,0,1
162,167,3.8,3.92,Stanford University,USA,Private,3,52635,6.0,101,2,True,False,True,"Mathematics,Statistics",0.8637499999999999,0.8072759997491488,0.0907638223074465,1,0,1
161,163,4.2,3.13,Stanford University,USA,Private,3,54440,6.1,91,2,False,True,True,"Computer Science,Engineering",0.7831249999999998,0.8072759997491488,0.05871595468910906,0,1,1
166,157,3.9,3.16,Stanford University,USA,Private,3,56940,7.1,89,2,True,False,True,"Computer Science,Engineering",0.75625,0.8072759997491488,0.014328326408863279,1,0,1
163,169,3.9,3.26,Stanford University,USA,Private,3,55988,6.3,89,2,True,True,True,"Data Science,AI",0.84875,0.8072759997491488,0.031231135257980935,1,1,1
155,161,4.8,3.93,Stanford University,USA,Private,3,54820,6.9,109,2,True,False,True,"Engineering,Robotics",0.793125,0.8072759997491488,0.05196903519051166,1,0,1
157,158,4.7,3.08,Stanford University,USA,Private,3,56818,6.2,95,2,False,True,True,"Business,Management",0.72375,0.8072759997491488,0.01649444266893929,0,1,1
158,155,4.9,3.79,Stanford University,USA,Private,3,56654,6.9,107,2,True,True,True,"Data Science,AI",0.753125,0.8072759997491488,0.019406271084123405,1,1,1
169,164,4.1,3.11,Stanford University,USA,Private,3,55083,6.7,101,2,False,True,True,"Data Science,AI",0.838125,0.8072759997491488,0.0472994566954299,0,1,1
155,167,3.4,3.44,Stanford University,USA,Private,3,55511,6.9,86,2,True,True,True,"Data Science,AI",0.7799999999999999,0.8072759997491488,0.039700294733851726,1,1,1
158,157,4.9,3.83,Stanford University,USA,Private,3,56702,7.0,89,2,True,True,True,"Business,Management",0.7731250000000001,0.8072759997491488,0.01855402862114275,1,1,1
164,160,3.5,3.67,Stanford University,USA,Private,3,54977,6.1,100,2,True,False,True,"Mathematics,Statistics",0.791875,0.8072759997491488,0.049181492134512284,1,0,1
162,155,3.1,3.86,Stanford University,USA,Private,3,55088,7.4,87,2,False,False,True,"Business,Management",0.7375,0.8072759997491488,0.047210681438869306,0,0,1
157,165,4.7,3.68,Stanford University,USA,Private,3,55116,7.3,85,2,True,True,True,"Computer Science,Engineering",0.8225,0.8072759997491488,0.04671354000213057,1,1,1
162,165,3.5,3.92,Stanford University,USA,Private,3,52832,7.0,91,2,True,True,True,"Mathematics,Statistics",0.83875,0.8072759997491488,0.08726607719896307,1,1,1
168,169,4.7,2.95,Stanford University,USA,Private,3,54093,7.1,102,2,False,False,True,"Physics,Applied Sciences",0.880625,0.8072759997491488,0.06487695749440714,0,0,1
162,167,3.5,3.03,Stanford University,USA,Private,3,52712,6.5,93,2,True,False,True,"Business,Management",0.8006249999999999,0.8072759997491488,0.08939668335641493,1,0,1
162,157,3.3,3.14,Stanford University,USA,Private,3,52351,6.6,86,2,True,False,True,"Engineering,Robotics",0.7150000000000001,0.8072759997491488,0.09580625688008237,1,0,1
164,168,4.5,3.75,Stanford University,USA,Private,3,53205,7.2,88,2,True,False,True,"Computer Science,Engineering",0.891875,0.8072759997491488,0.0806434430595504,1,0,1
161,160,4.4,3.37,Stanford University,USA,Private,3,52568,6.1,102,2,False,False,True,"Mathematics,Statistics",0.776875,0.8072759997491488,0.09195341074535701,0,0,1
161,158,4.3,3.51,Stanford University,USA,Private,3,54359,6.1,85,2,False,True,True,"Data Science,AI",0.765625,0.8072759997491488,0.060154113845389046,0,1,1
160,164,3.0,2.99,Stanford University,USA,Private,3,54826,7.4,87,2,True,True,True,"Mathematics,Statistics",0.746875,0.8072759997491488,0.051862504882639104,1,1,1
160,158,4.7,3.73,Stanford University,USA,Private,3,53515,6.2,87,2,True,False,True,"Engineering,Robotics",0.7831250000000001,0.8072759997491488,0.07513937715279995,1,0,1
164,159,4.3,3.28,Stanford University,USA,Private,3,53758,7.5,85,2,False,False,True,"Physics,Applied Sciences",0.7787499999999999,0.8072759997491488,0.07082489968396011,0,0,1
164,156,3.4,2.84,Stanford University,USA,Private,3,55834,6.6,99,2,False,False,True,"Data Science,AI",0.7024999999999999,0.8072759997491488,0.03396541316004398,0,0,1
157,166,3.4,3.84,Stanford University,USA,Private,3,56521,7.2,98,2,False,False,True,"Data Science,AI",0.80875,0.8072759997491488,0.021767692908632452,0,0,1
161,159,4.8,3.96,Stanford University,USA,Private,3,53270,6.7,98,2,True,True,True,"Physics,Applied Sciences",0.815,0.8072759997491488,0.07948936472426404,1,1,1
