greV,greQ,greA,cgpa,univName,country,university_type,ranking,tuition_usd,ielts_min,toefl_min,duration_years,research_focused,internship_opportunities,post_study_work_visa,program_fields
166,158,3.1,3.16,Stanford University,USA,Private,3,55203,6.5,92,2,True,False,True,"Engineering,Robotics"
161,159,3.9,3.81,Stanford University,USA,Private,3,53319,6.6,87,2,True,False,True,"Engineering,Robotics"
165,167,4.9,3.66,Stanford University,USA,Private,3,52475,6.6,103,2,False,False,True,"Business,Management"
154,164,4.9,3.8,Stanford University,USA,Private,3,56077,6.6,85,2,True,False,True,"Physics,Applied Sciences"
165,163,4.3,3.14,Stanford University,USA,Private,3,57501,7.1,89,2,False,True,True,"Data Science,AI"
161,164,3.7,3.71,Stanford University,USA,Private,3,52329,6.2,89,2,True,True,True,"Physics,Applied Sciences"
163,168,4.4,3.37,Stanford University,USA,Private,3,52788,6.7,91,2,False,True,True,"Physics,Applied Sciences"
154,161,3.1,3.94,Stanford University,USA,Private,3,57126,6.4,94,2,False,True,True,"Business,Management"
150,162,4.3,3.0,Stanford University,USA,Private,3,52638,7.0,101,2,False,False,True,"Data Science,AI"
169,162,4.4,3.49,Stanford University,USA,Private,3,52956,7.2,95,2,True,False,True,"Data Science,AI"
150,155,4.3,3.05,Stanford University,USA,Private,3,53756,6.3,98,2,False,True,True,"Data Science,AI"
167,157,3.7,3.59,Stanford University,USA,Private,3,54369,7.0,86,2,True,True,True,"Engineering,Robotics"
167,167,4.9,2.85,Stanford University,USA,Private,3,54548,7.5,88,2,False,True,True,"Computer Science,Engineering"
152,155,4.5,2.95,Stanford University,USA,Private,3,53625,6.9,107,2,False,False,True,"Mathematics,Statistics"
161,155,4.4,3.69,Stanford University,USA,Private,3,53560,6.6,101,2,False,False,True,"Computer Science,Engineering"
162,165,3.2,2.86,Stanford University,USA,Private,3,57521,7.3,93,2,True,False,True,"Physics,Applied Sciences"
169,157,4.0,2.9,Stanford University,USA,Private,3,52754,6.9,104,2,True,True,True,"Engineering,Robotics"
165,163,3.2,3.92,Stanford University,USA,Private,3,57608,7.5,89,2,True,True,True,"Mathematics,Statistics"
160,165,3.2,2.97,Stanford University,USA,Private,3,56438,6.9,90,2,True,False,True,"Mathematics,Statistics"
157,164,3.8,3.87,Stanford University,USA,Private,3,53056,6.8,90,2,True,False,True,"Mathematics,Statistics"
150,160,4.6,3.94,Stanford University,USA,Private,3,57673,7.1,90,2,False,True,True,"Data Science,AI"
161,160,4.4,3.1,Stanford University,USA,Private,3,54066,6.7,97,2,True,False,True,"Engineering,Robotics"
169,166,4.5,3.79,Stanford University,USA,Private,3,56343,7.0,109,2,True,False,True,"Computer Science,Engineering"
150,160,3.9,3.76,Stanford University,USA,Private,3,57628,6.8,99,2,True,False,True,"Physics,Applied Sciences"
160,166,3.1,3.46,Stanford University,USA,Private,3,57581,6.8,93,2,True,False,True,"Computer Science,Engineering"
152,161,3.1,3.14,Stanford University,USA,Private,3,57477,7.3,96,2,False,False,True,"Mathematics,Statistics"
157,164,3.4,3.36,Stanford University,USA,Private,3,54193,6.9,89,2,True,False,True,"Data Science,AI"
166,163,3.6,3.78,Stanford University,USA,Private,3,56016,6.2,98,2,True,True,True,"Physics,Applied Sciences"
167,157,4.5,3.54,Stanford University,USA,Private,3,54550,7.4,102,2,True,True,True,"Mathematics,Statistics"
150,160,4.6,3.98,Stanford University,USA,Private,3,53077,6.9,109,2,False,True,True,"Data Science,AI"
166,167,3.1,2.84,Stanford University,USA,Private,3,52986,6.0,107,2,False,False,True,"Computer Science,Engineering"
154,169,4.5,3.9,Stanford University,USA,Private,3,55468,7.1,94,2,False,True,True,"Computer Science,Engineering"
163,163,3.3,3.94,Stanford University,USA,Private,3,55583,6.3,101,2,False,False,True,"Business,Management"
157,161,4.3,3.42,Stanford University,USA,Private,3,56497,6.8,96,2,True,False,True,"Engineering,Robotics"
154,168,4.8,3.28,Stanford University,USA,Private,3,52987,6.0,99,2,True,True,True,"Physics,Applied Sciences"
151,165,3.4,2.96,Stanford University,USA,Private,3,52329,6.5,86,2,False,False,True,"Data Science,AI"
168,169,4.5,3.46,Stanford University,USA,Private,3,54730,7.4,107,2,False,True,True,"Computer Science,Engineering"
154,167,3.3,3.91,Stanford University,USA,Private,3,54956,6.4,108,2,True,False,True,"Physics,Applied Sciences"
151,167,3.4,3.5,Stanford University,USA,Private,3,54128,6.8,107,2,True,False,True,"Data Science,AI"
165,162,3.4,3.64,Stanford University,USA,Private,3,54514,7.3,102,2,True,False,True,"Data Science,AI"
168,159,3.3,3.13,Stanford University,USA,Private,3,53223,6.1,85,2,True,True,True,"Engineering,Robotics"
163,156,3.3,3.2,Stanford University,USA,Private,3,54018,6.1,99,2,True,False,True,"Physics,Applied Sciences"
160,169,3.8,2.8,Stanford University,USA,Private,3,57025,6.1,87,2,True,False,True,"Physics,Applied Sciences"
163,164,4.5,3.44,Stanford University,USA,Private,3,56212,6.1,108,2,True,True,True,"Data Science,AI"
164,161,4.0,3.44,Stanford University,USA,Private,3,52839,6.7,87,2,True,True,True,"Computer Science,Engineering"
154,166,3.0,3.19,Stanford University,USA,Private,3,53412,6.5,96,2,True,True,True,"Mathematics,Statistics"
169,163,4.4,3.75,Stanford University,USA,Private,3,54991,6.1,99,2,False,False,True,"Computer Science,Engineering"
161,157,3.8,3.2,Stanford University,USA,Private,3,57198,6.9,108,2,True,True,True,"Physics,Applied Sciences"
154,163,3.5,2.92,Stanford University,USA,Private,3,53090,6.4,88,2,False,True,True,"Physics,Applied Sciences"
158,161,3.1,2.82,Stanford University,USA,Private,3,56083,7.5,90,2,False,False,True,"Engineering,Robotics"
160,158,3.0,3.97,Stanford University,USA,Private,3,54949,7.1,109,2,False,True,True,"Data Science,AI"
157,164,3.6,3.72,Stanford University,USA,Private,3,53278,6.5,103,2,False,True,True,"Engineering,Robotics"
166,166,3.2,3.53,Stanford University,USA,Private,3,53837,6.9,95,2,True,False,True,"Mathematics,Statistics"
160,157,3.1,3.2,Stanford University,USA,Private,3,52989,6.1,96,2,False,True,True,"Business,Management"
169,155,3.3,2.8,Stanford University,USA,Private,3,52891,6.7,90,2,True,True,True,"Physics,Applied Sciences"
166,159,4.7,3.96,Stanford University,USA,Private,3,52933,7.1,93,2,False,False,True,"Data Science,AI"
152,155,4.5,3.49,Stanford University,USA,Private,3,56880,6.2,93,2,True,False,True,"Engineering,Robotics"
152,159,3.4,3.08,Stanford University,USA,Private,3,55735,7.4,109,2,True,False,True,"Computer Science,Engineering"
167,162,3.9,3.66,Stanford University,USA,Private,3,57198,6.9,85,2,True,True,True,"Computer Science,Engineering"
166,155,3.8,3.44,Stanford University,USA,Private,3,52616,6.3,91,2,True,False,True,"Physics,Applied Sciences"
152,161,4.5,3.63,Stanford University,USA,Private,3,53167,7.3,85,2,False,False,True,"Data Science,AI"
153,167,3.3,3.17,Stanford University,USA,Private,3,53616,7.1,88,2,False,False,True,"Business,Management"
154,165,4.5,2.92,Stanford University,USA,Private,3,55200,6.6,97,2,False,False,True,"Mathematics,Statistics"
157,159,4.0,3.29,Stanford University,USA,Private,3,56495,6.0,103,2,True,False,True,"Engineering,Robotics"
160,165,3.7,3.02,Stanford University,USA,Private,3,57246,6.9,92,2,True,True,True,"Business,Management"
163,165,3.3,3.5,Stanford University,USA,Private,3,55032,6.9,99,2,False,False,True,"Data Science,AI"
161,166,4.1,3.64,Stanford University,USA,Private,3,57323,7.1,94,2,True,False,True,"Business,Management"
158,160,3.2,2.93,Stanford University,USA,Private,3,56872,7.4,85,2,False,True,True,"Mathematics,Statistics"
163,158,3.2,3.91,Stanford University,USA,Private,3,57034,6.8,92,2,True,True,True,"Computer Science,Engineering"
158,164,4.6,2.81,Stanford University,USA,Private,3,54084,6.6,109,2,False,True,True,"Physics,Applied Sciences"
151,161,3.7,3.69,Stanford University,USA,Private,3,54737,6.3,96,2,True,True,True,"Physics,Applied Sciences"
156,158,3.8,3.9,Stanford University,USA,Private,3,54243,6.9,106,2,False,False,True,"Business,Management"
166,161,5.0,3.35,Stanford University,USA,Private,3,55315,7.3,92,2,True,True,True,"Computer Science,Engineering"
162,168,4.5,3.05,Stanford University,USA,Private,3,57189,6.3,101,2,True,True,True,"Physics,Applied Sciences"
165,162,4.2,3.15,Stanford University,USA,Private,3,56177,6.8,106,2,False,True,True,"Business,Management"
155,157,3.3,3.02,Stanford University,USA,Private,3,56989,7.4,94,2,False,True,True,"Physics,Applied Sciences"
151,166,4.6,3.97,Stanford University,USA,Private,3,56868,7.3,92,2,True,True,True,"Data Science,AI"
157,160,3.7,3.48,Stanford University,USA,Private,3,57131,6.8,92,2,False,True,True,"Physics,Applied Sciences"
163,165,4.9,3.93,Stanford University,USA,Private,3,53025,6.6,107,2,False,False,True,"Business,Management"
156,155,3.4,2.83,Stanford University,USA,Private,3,53247,6.9,102,2,False,True,True,"Mathematics,Statistics"
169,165,3.5,3.26,Stanford University,USA,Private,3,55496,6.4,89,2,True,False,True,"Physics,Applied Sciences"
158,156,4.7,3.06,Stanford University,USA,Private,3,57610,7.2,101,2,False,False,True,"Data Science,AI"
163,161,4.6,3.31,Stanford University,USA,Private,3,52373,6.4,92,2,False,True,True,"Computer Science,Engineering"
156,163,3.3,3.8,Stanford University,USA,Private,3,57664,6.8,97,2,False,True,True,"Mathematics,Statistics"
160,160,4.8,2.94,Stanford University,USA,Private,3,55420,6.4,101,2,True,True,True,"Physics,Applied Sciences"
161,161,3.2,2.97,Stanford University,USA,Private,3,53700,6.4,92,2,False,False,True,"Mathematics,Statistics"
156,164,4.8,3.3,Stanford University,USA,Private,3,54357,6.8,86,2,False,False,True,"Data Science,AI"
150,157,3.2,3.73,Stanford University,USA,Private,3,52625,7.3,95,2,False,False,True,"Computer Science,Engineering"
156,162,4.1,3.37,Stanford University,USA,Private,3,55900,7.4,89,2,False,True,True,"Business,Management"
153,169,3.5,3.51,Stanford University,USA,Private,3,52532,6.7,97,2,True,False,True,"Computer Science,Engineering"
151,159,3.7,3.22,Stanford University,USA,Private,3,54520,7.1,92,2,False,True,True,"Data Science,AI"
152,156,4.6,3.63,Stanford University,USA,Private,3,53746,6.9,103,2,True,False,True,"Data Science,AI"
166,167,4.6,3.63,Stanford University,USA,Private,3,55117,6.1,100,2,False,True,True,"Mathematics,Statistics"
166,161,4.4,3.56,Stanford University,USA,Private,3,57643,7.4,96,2,True,True,True,"Business,Management"
158,167,4.3,2.85,Stanford University,USA,Private,3,55485,7.5,105,2,False,False,True,"Physics,Applied Sciences"
164,159,4.5,3.03,Stanford University,USA,Private,3,52884,6.6,102,2,True,False,True,"Engineering,Robotics"
156,157,3.6,3.79,Stanford University,USA,Private,3,52453,6.9,87,2,False,False,True,"Mathematics,Statistics"
151,157,4.4,3.21,Stanford University,USA,Private,3,56236,6.1,99,2,False,True,True,"Engineering,Robotics"
162,156,4.0,3.31,Stanford University,USA,Private,3,57071,6.6,87,2,False,False,True,"Physics,Applied Sciences"
162,167,3.8,3.92,Stanford University,USA,Private,3,52635,6.0,101,2,True,False,True,"Mathematics,Statistics"
161,163,4.2,3.13,Stanford University,USA,Private,3,54440,6.1,91,2,False,True,True,"Computer Science,Engineering"
166,157,3.9,3.16,Stanford University,USA,Private,3,56940,7.1,89,2,True,False,True,"Computer Science,Engineering"
163,169,3.9,3.26,Stanford University,USA,Private,3,55988,6.3,89,2,True,True,True,"Data Science,AI"
155,161,4.8,3.93,Stanford University,USA,Private,3,54820,6.9,109,2,True,False,True,"Engineering,Robotics"
157,158,4.7,3.08,Stanford University,USA,Private,3,56818,6.2,95,2,False,True,True,"Business,Management"
158,155,4.9,3.79,Stanford University,USA,Private,3,56654,6.9,107,2,True,True,True,"Data Science,AI"
169,164,4.1,3.11,Stanford University,USA,Private,3,55083,6.7,101,2,False,True,True,"Data Science,AI"
155,167,3.4,3.44,Stanford University,USA,Private,3,55511,6.9,86,2,True,True,True,"Data Science,AI"
158,157,4.9,3.83,Stanford University,USA,Private,3,56702,7.0,89,2,True,True,True,"Business,Management"
164,160,3.5,3.67,Stanford University,USA,Private,3,54977,6.1,100,2,True,False,True,"Mathematics,Statistics"
162,155,3.1,3.86,Stanford University,USA,Private,3,55088,7.4,87,2,False,False,True,"Business,Management"
157,165,4.7,3.68,Stanford University,USA,Private,3,55116,7.3,85,2,True,True,True,"Computer Science,Engineering"
162,165,3.5,3.92,Stanford University,USA,Private,3,52832,7.0,91,2,True,True,True,"Mathematics,Statistics"
168,169,4.7,2.95,Stanford University,USA,Private,3,54093,7.1,102,2,False,False,True,"Physics,Applied Sciences"
162,167,3.5,3.03,Stanford University,USA,Private,3,52712,6.5,93,2,True,False,True,"Business,Management"
162,157,3.3,3.14,Stanford University,USA,Private,3,52351,6.6,86,2,True,False,True,"Engineering,Robotics"
164,168,4.5,3.75,Stanford University,USA,Private,3,53205,7.2,88,2,True,False,True,"Computer Science,Engineering"
161,160,4.4,3.37,Stanford University,USA,Private,3,52568,6.1,102,2,False,False,True,"Mathematics,Statistics"
161,158,4.3,3.51,Stanford University,USA,Private,3,54359,6.1,85,2,False,True,True,"Data Science,AI"
160,164,3.0,2.99,Stanford University,USA,Private,3,54826,7.4,87,2,True,True,True,"Mathematics,Statistics"
160,158,4.7,3.73,Stanford University,USA,Private,3,53515,6.2,87,2,True,False,True,"Engineering,Robotics"
164,159,4.3,3.28,Stanford University,USA,Private,3,53758,7.5,85,2,False,False,True,"Physics,Applied Sciences"
164,156,3.4,2.84,Stanford University,USA,Private,3,55834,6.6,99,2,False,False,True,"Data Science,AI"
157,166,3.4,3.84,Stanford University,USA,Private,3,56521,7.2,98,2,False,False,True,"Data Science,AI"
161,159,4.8,3.96,Stanford University,USA,Private,3,53270,6.7,98,2,True,True,True,"Physics,Applied Sciences"
161,158,3.9,3.04,Stanford University,USA,Private,3,54953,6.1,106,2,True,True,True,"Business,Management"
157,165,5.0,2.98,Stanford University,USA,Private,3,54805,7.0,102,2,False,True,True,"Physics,Applied Sciences"
160,167,4.5,3.94,Stanford University,USA,Private,3,57243,7.1,103,2,False,True,True,"Computer Science,Engineering"
161,163,4.1,2.82,Stanford University,USA,Private,3,54902,6.3,85,2,False,False,True,"Business,Management"
150,156,4.1,3.86,Stanford University,USA,Private,3,52703,7.2,106,2,True,False,True,"Physics,Applied Sciences"
156,164,4.4,3.76,Stanford University,USA,Private,3,53350,6.3,101,2,False,True,True,"Mathematics,Statistics"
152,165,3.1,3.92,Stanford University,USA,Private,3,52535,6.8,102,2,False,False,True,"Business,Management"
169,168,4.2,3.38,Stanford University,USA,Private,3,55884,6.8,90,2,False,False,True,"Business,Management"
152,169,4.1,3.68,Stanford University,USA,Private,3,52698,6.1,107,2,False,True,True,"Computer Science,Engineering"
162,157,3.4,3.97,Stanford University,USA,Private,3,54102,6.3,107,2,True,True,True,"Data Science,AI"
161,156,3.0,3.58,Stanford University,USA,Private,3,54077,6.8,87,2,False,False,True,"Data Science,AI"
152,167,3.1,2.84,Stanford University,USA,Private,3,53667,6.7,105,2,True,False,True,"Mathematics,Statistics"
169,159,3.7,3.25,Stanford University,USA,Private,3,57682,6.1,101,2,True,False,True,"Computer Science,Engineering"
153,164,4.5,3.38,Stanford University,USA,Private,3,57053,7.4,90,2,True,False,True,"Data Science,AI"
168,164,4.8,3.05,Stanford University,USA,Private,3,55676,6.9,99,2,True,True,True,"Business,Management"
157,158,4.8,3.02,Stanford University,USA,Private,3,53556,7.5,107,2,True,True,True,"Physics,Applied Sciences"
162,163,3.5,3.84,Stanford University,USA,Private,3,54699,6.8,109,2,False,False,True,"Physics,Applied Sciences"
166,165,3.6,3.28,Stanford University,USA,Private,3,56968,6.0,85,2,False,False,True,"Engineering,Robotics"
162,161,3.9,3.08,Stanford University,USA,Private,3,52654,6.3,94,2,True,False,True,"Engineering,Robotics"
158,155,3.9,3.51,Stanford University,USA,Private,3,57467,6.4,106,2,False,False,True,"Computer Science,Engineering"
160,159,3.7,3.44,Stanford University,USA,Private,3,56549,7.1,108,2,False,True,True,"Physics,Applied Sciences"
161,165,3.2,3.12,Stanford University,USA,Private,3,52563,6.8,104,2,False,True,True,"Computer Science,Engineering"
152,160,3.4,2.91,Stanford University,USA,Private,3,52818,6.9,96,2,False,False,True,"Mathematics,Statistics"
167,162,4.4,2.82,Stanford University,USA,Private,3,54027,7.5,91,2,True,False,True,"Data Science,AI"
167,161,4.3,2.97,Stanford University,USA,Private,3,52414,6.5,100,2,False,False,True,"Engineering,Robotics"
157,156,3.4,3.68,Stanford University,USA,Private,3,53108,6.4,99,2,False,True,True,"Business,Management"
150,161,5.0,3.25,Stanford University,USA,Private,3,52346,6.4,92,2,True,False,True,"Computer Science,Engineering"
161,165,4.9,3.63,Stanford University,USA,Private,3,55970,6.3,100,2,False,True,True,"Mathematics,Statistics"
158,164,3.7,2.99,Stanford University,USA,Private,3,55577,6.5,85,2,True,True,True,"Mathematics,Statistics"
158,159,4.1,3.69,Stanford University,USA,Private,3,57081,6.6,98,2,False,False,True,"Data Science,AI"
155,156,4.5,3.76,Stanford University,USA,Private,3,54645,7.2,108,2,False,False,True,"Computer Science,Engineering"
164,155,3.7,3.28,Stanford University,USA,Private,3,56075,6.6,109,2,True,True,True,"Computer Science,Engineering"
152,166,3.0,3.5,Stanford University,USA,Private,3,53176,7.0,86,2,False,True,True,"Data Science,AI"
157,156,4.0,2.83,Stanford University,USA,Private,3,54126,6.6,86,2,False,True,True,"Engineering,Robotics"
153,169,3.8,3.46,Stanford University,USA,Private,3,56357,7.1,95,2,True,True,True,"Data Science,AI"
165,169,3.1,3.95,Stanford University,USA,Private,3,55850,6.6,88,2,True,True,True,"Physics,Applied Sciences"
168,156,3.3,3.54,Stanford University,USA,Private,3,55126,7.0,99,2,False,True,True,"Business,Management"
153,168,4.4,3.13,Stanford University,USA,Private,3,54524,6.2,95,2,True,True,True,"Engineering,Robotics"
159,161,4.1,3.65,Stanford University,USA,Private,3,52837,6.9,94,2,False,False,True,"Engineering,Robotics"
153,160,4.6,3.46,Stanford University,USA,Private,3,52488,6.9,97,2,True,False,True,"Physics,Applied Sciences"
158,164,3.4,3.53,Stanford University,USA,Private,3,54510,7.3,92,2,False,False,True,"Computer Science,Engineering"
154,158,3.5,3.79,Stanford University,USA,Private,3,54580,7.0,102,2,True,False,True,"Business,Management"
150,161,4.2,3.0,Stanford University,USA,Private,3,56302,7.3,107,2,True,True,True,"Physics,Applied Sciences"
165,159,4.3,3.53,Stanford University,USA,Private,3,55256,6.3,98,2,True,True,True,"Computer Science,Engineering"
151,157,4.2,3.61,Stanford University,USA,Private,3,54684,6.7,93,2,True,True,True,"Engineering,Robotics"
163,157,4.2,3.2,Stanford University,USA,Private,3,57230,7.2,88,2,False,True,True,"Computer Science,Engineering"
153,157,3.8,3.24,Stanford University,USA,Private,3,54139,6.9,97,2,True,False,True,"Business,Management"
154,166,3.5,3.45,Stanford University,USA,Private,3,57090,7.0,106,2,False,True,True,"Business,Management"
152,160,4.3,3.99,Stanford University,USA,Private,3,55890,6.8,86,2,True,False,True,"Engineering,Robotics"
157,160,4.1,3.95,Stanford University,USA,Private,3,53214,7.0,109,2,True,False,True,"Business,Management"
165,166,3.7,3.6,Stanford University,USA,Private,3,56624,7.4,97,2,True,False,True,"Data Science,AI"
157,160,5.0,3.91,Stanford University,USA,Private,3,55219,7.3,105,2,False,False,True,"Physics,Applied Sciences"
167,162,4.5,2.95,Stanford University,USA,Private,3,56793,7.2,86,2,True,False,True,"Engineering,Robotics"
150,161,3.5,3.23,Stanford University,USA,Private,3,52732,7.4,93,2,True,True,True,"Data Science,AI"
169,168,3.9,3.52,Stanford University,USA,Private,3,55086,7.4,95,2,True,False,True,"Engineering,Robotics"
154,158,3.4,3.92,Stanford University,USA,Private,3,52890,7.2,87,2,False,False,True,"Business,Management"
163,160,3.3,3.05,Stanford University,USA,Private,3,56753,6.5,87,2,False,True,True,"Business,Management"
152,156,4.9,3.49,Stanford University,USA,Private,3,57380,6.9,106,2,True,False,True,"Physics,Applied Sciences"
150,168,4.8,3.8,Stanford University,USA,Private,3,53996,7.4,90,2,True,True,True,"Mathematics,Statistics"
151,162,4.0,3.41,Stanford University,USA,Private,3,53529,6.1,96,2,False,False,True,"Engineering,Robotics"
162,169,4.0,3.33,Stanford University,USA,Private,3,52831,7.0,95,2,False,False,True,"Engineering,Robotics"
168,169,3.1,3.74,Stanford University,USA,Private,3,54778,6.1,95,2,False,True,True,"Computer Science,Engineering"
168,163,3.3,2.95,Stanford University,USA,Private,3,53918,6.2,100,2,False,False,True,"Computer Science,Engineering"
153,158,5.0,3.78,Stanford University,USA,Private,3,55633,6.5,104,2,False,False,True,"Physics,Applied Sciences"
156,156,3.3,3.86,Stanford University,USA,Private,3,54723,6.3,91,2,True,False,True,"Physics,Applied Sciences"
163,161,4.5,3.72,Stanford University,USA,Private,3,52310,6.6,105,2,False,False,True,"Mathematics,Statistics"
159,161,3.3,3.44,Stanford University,USA,Private,3,53433,6.0,102,2,True,True,True,"Mathematics,Statistics"
167,159,4.9,3.39,Stanford University,USA,Private,3,52853,6.8,105,2,False,False,True,"Mathematics,Statistics"
153,156,3.6,3.68,Stanford University,USA,Private,3,54868,6.6,104,2,True,False,True,"Business,Management"
159,167,3.3,2.92,Stanford University,USA,Private,3,55872,7.4,86,2,False,False,True,"Mathematics,Statistics"
150,164,4.9,3.1,Stanford University,USA,Private,3,56546,7.2,107,2,False,False,True,"Data Science,AI"
157,155,4.2,2.88,Stanford University,USA,Private,3,55101,6.2,96,2,True,True,True,"Mathematics,Statistics"
157,167,3.1,3.7,Stanford University,USA,Private,3,55874,7.2,87,2,False,True,True,"Mathematics,Statistics"
169,159,3.8,3.35,Stanford University,USA,Private,3,57703,7.5,103,2,True,True,True,"Engineering,Robotics"
168,165,3.8,3.46,Stanford University,USA,Private,3,56817,6.1,94,2,False,True,True,"Engineering,Robotics"
166,169,4.6,3.07,Stanford University,USA,Private,3,57617,7.0,87,2,True,False,True,"Physics,Applied Sciences"
153,168,3.1,3.95,Stanford University,USA,Private,3,54880,7.3,94,2,True,False,True,"Engineering,Robotics"
157,156,4.2,3.5,Stanford University,USA,Private,3,56364,7.2,86,2,True,False,True,"Computer Science,Engineering"
157,156,3.4,3.25,Stanford University,USA,Private,3,54626,6.7,109,2,False,False,True,"Engineering,Robotics"
169,159,4.4,3.4,Stanford University,USA,Private,3,52319,7.5,107,2,True,True,True,"Engineering,Robotics"
158,169,3.5,3.71,Stanford University,USA,Private,3,54782,7.3,92,2,False,True,True,"Engineering,Robotics"
160,160,4.5,3.12,Stanford University,USA,Private,3,55217,7.1,86,2,True,True,True,"Engineering,Robotics"
167,169,4.0,2.98,Stanford University,USA,Private,3,54133,6.6,89,2,True,True,True,"Data Science,AI"
168,161,4.4,3.85,Stanford University,USA,Private,3,55749,7.1,99,2,False,False,True,"Business,Management"
165,162,3.5,3.67,Stanford University,USA,Private,3,57704,6.1,94,2,False,True,True,"Computer Science,Engineering"
159,159,4.5,3.54,Stanford University,USA,Private,3,53284,6.5,97,2,True,False,True,"Engineering,Robotics"
159,164,4.7,3.8,Stanford University,USA,Private,3,52310,7.1,105,2,True,False,True,"Data Science,AI"
165,157,4.7,3.36,Stanford University,USA,Private,3,55011,6.2,99,2,True,False,True,"Engineering,Robotics"
159,162,3.4,2.97,Stanford University,USA,Private,3,55896,6.0,91,2,True,False,True,"Physics,Applied Sciences"
